"updated","genotype","active","productive","collection_date","collection_site","collection_lat","collection_lon","york_locations","tpb_locations","cades_locations","jumby_locations","gb_locations","n_frags","n_outplanted","n_outplants","outplant_survival"
2025-10-06,"DLAB07","Y","Y",2025-05-10,"Little Bird Island North","17.080466","-61.671716","","ST","","A1","",45,0,0,NA
2025-10-06,"MCAV01","N","N",2023-02-19,"Ten Pound Bay","17.067501","-61.664362","","","","","",0,0,0,NA
2025-10-06,"MCAV02","Y","Y",2024-02-04,"Pierce Shoals","17.156763","-61.768185","","B2, ST","","A1","",23,0,0,NA
2025-10-06,"OANN01","N","N",2023-02-18,"North Green","17.075544","-61.668307","","","","","",0,0,0,NA
2025-10-06,"OANN02","Y","Y",2023-02-19,"Ten Pound Bay","17.067682","-61.664259","","","","A2","",24,0,0,NA
2025-10-06,"OANN03","Y","Y",2024-02-04,"Pierce Shoals","17.157043","-61.768088","","A4, ST","","","",68,0,0,NA
2025-10-06,"OANN04","N","N",2024-02-04,"Bird Island West","17.148331","-61.726094","","","","","",0,0,0,NA
2025-10-06,"OANN05","Y","Y",2024-02-04,"Little Bird Island West","17.156023","-61.743566","","ST","","A1","",16,0,0,NA
2025-10-06,"OANN06","N","N",2024-02-04,"Little Bird Island West","17.156882","-61.743801","","","","","",0,0,0,NA
2025-10-06,"OANN07","N","N",2024-02-04,"Bird Island West","17.147473","-61.72751","","","","","",0,0,0,NA
2025-10-06,"OANN08","N","N",2024-05-21,"Cades Reef","17.004963","-61.866193","","","","","",0,46,43,0.934782608695652
2025-10-06,"OANN09","N","N",2024-05-21,"Cades Reef","17.004954","-61.867071","","","","","",0,39,37,0.948717948717949
2025-10-06,"OANN10","N","N",2024-06-05,"Cades Reef","17.00928","-61.860093","","","","","",0,22,22,1
2025-10-06,"OANN11","N","N",2024-06-05,"Cades Reef","17.009187","-61.86054","","","","","",0,53,44,0.830188679245283
2025-10-06,"OANN12","Y","Y",2024-06-05,"Cades Reef","17.010755","-61.867726","","ST","","","",0,57,47,0.824561403508772
2025-10-06,"OANN13","Y","Y",2025-05-10,"Little Bird Island North","17.080172","-61.670755","","B2, ST","A4","","",89,0,0,NA
2025-10-06,"OANN14","N","N",2025-05-10,"Little Bird Island North","17.080226","-61.670919","","","","","",0,0,0,NA
2025-10-06,"OANN15","Y","Y",2025-05-10,"Little Bird Island North","17.080344","-61.670926","","ST","","A1","",39,0,0,NA
2025-10-06,"OFAV01","N","N",2023-02-18,"North Green","17.075454","-61.668341","","","","","",0,0,0,NA
2025-10-06,"OFAV02","N","N",2023-02-19,"Ten Pound Bay","17.067712","-61.664145","","","","","",0,0,0,NA
2025-10-06,"OFAV03","Y","Y",2024-02-04,"Little Bird Island West","17.156178","-61.743585","","ST","","A1","",15,0,0,NA
2025-10-06,"OFAV04","N","N",2024-02-04,"Little Bird Island West","17.156786","-61.743892","","","","","",0,0,0,NA
2025-10-06,"OFAV05","Y","Y",2024-02-04,"Bird Island West","17.148268","-61.726106","","ST","","A1, A3","",141,0,0,NA
2025-10-06,"OFAV06","N","N",2024-02-04,"Pierce Shoals","17.157415","-61.767162","","","","","",0,0,0,NA
2025-10-06,"OFAV07","N","N",2024-05-21,"Cades Reef","17.005109","-61.865203","","","","","",0,42,24,0.571428571428571
2025-10-06,"OFAV08","N","N",2024-05-21,"Cades Reef","17.005159","-61.865338","","","","","",0,15,14,0.933333333333333
2025-10-06,"OFAV09","N","N",NA,NA,NA,NA,"","","","","",0,30,17,0.566666666666667
2025-10-06,"OFAV10","N","N",2024-06-05,"Cades Reef","17.009166","-61.859934","","","","","",0,35,23,0.657142857142857
2025-10-06,"OFAV11","N","N",2024-06-05,"Cades Reef","17.009979","-61.869095","","","","","",0,0,0,NA
2025-10-06,"OFAV12","Y","Y",2025-05-10,"Little Bird Island North","17.053548","-61.671332","","ST","A4","","",36,0,0,NA
2025-10-06,"OFAV13","Y","Y",2025-05-10,"Little Bird Island North","17.054068","-61.671168","","","A4","A2","",46,0,0,NA
2025-10-06,"OFAV14","Y","Y",2025-05-10,"Little Bird Island North","17.05449","-61.670838","","A4","","","",26,0,0,NA
2025-10-06,"OFRA01","Y","Y",2024-02-04,"Little Bird Island West","17.156678","-61.743689","","ST","","A1","",23,0,0,NA
2025-10-06,"PCLI01","N","N",2023-02-20,"Maiden Island","17.145118","-61.761108","","","","","",0,0,0,NA
2025-10-06,"PCLI02","N","N",2023-02-20,"Long Island","17.155647","-61.741375","","","","","",0,0,0,NA
2025-10-06,"PCLI03","Y","Y",2024-02-04,"Pierce Shoals","17.157501","-61.767949","","ST","","A1","",22,0,0,NA
2025-10-06,"PCLI04","N","N",2024-06-05,"Cades Reef","17.009565","-61.85988","","","","","",0,0,0,NA
2025-10-06,"PDIV01","Y","Y",2022-01-25,"North Green","17.090285","-61.675178","","ST","","","",0,0,0,NA
2025-10-06,"PFUR01","N","N",2021-11-27,"Ten Pound Bay","17.068219","-61.664547","","","","","",0,0,0,NA
2025-10-06,"PFUR02","Y","Y",2021-11-27,"Ten Pound Bay","17.069112","-61.665175","","ST","","","",0,0,0,NA
2025-10-06,"PSTR01","Y","Y",2023-02-18,"North Green","17.075518","-61.66829","","B2","","","",5,0,0,NA
2025-10-06,"PSTR02","Y","Y",2023-02-19,"Ten Pound Bay","17.067615","-61.664298","","ST","","A4","",17,0,0,NA
2025-10-06,"PSTR03","Y","Y",2023-02-20,"Long Island","17.15552","-61.741356","","B2, ST","","A4","",20,0,0,NA
2025-10-06,"PSTR04","Y","Y",2024-02-04,"Pierce Shoals","17.157585","-61.768095","","B2","","","",5,0,0,NA
2025-10-06,"PSTR05","Y","Y",2024-02-04,"Little Bird Island West","17.156855","-61.74382","","ST","","A1","",19,0,0,NA
2025-10-06,"PSTR06","Y","Y",2024-02-04,"Little Bird Island West","17.155532","-61.743487","","B2, ST","","A3","",6,0,0,NA
2025-10-06,"PSTR07","N","N",2024-02-04,"Bird Island West","17.148213","-61.727056","","","","","",0,0,0,NA
2025-10-06,"PSTR08","N","N",2024-06-05,"Cades Reef","17.009558","-61.86005","","","","","",0,16,13,0.8125
2025-10-06,"PSTR09","N","N",2024-06-05,"Cades Reef","17.008831","-61.860583","","","","","",0,37,29,0.783783783783784
2025-10-06,"PSTR10","N","N",2024-06-05,"Cades Reef","17.010847","-61.867641","","","","","",0,29,16,0.551724137931034
2025-10-06,"PSTR11","N","N",2024-05-21,"Cades Reef","17.00504","-61.867424","","","","","",0,20,18,0.9
2025-10-06,"PSTR12","Y","Y",2025-05-10,"Little Bird Island North","17.054442","-61.67091","","B2","","","",12,0,0,NA
